pincode,latitude,longitude
410504,18.7200,73.6700
411002,18.5158,73.8566
411003,18.5182,73.8523
411004,18.5099,73.8415
411005,18.5308,73.8497
411006,18.5314,73.8467
411007,18.5598,73.8054
411008,18.5580,73.8071
411009,18.5035,73.8462
411011,18.5353,73.8770
411012,18.4797,73.8665
411013,18.4971,73.9260
411014,18.5642,73.9197
411015,18.4911,73.8320
411016,18.5167,73.8290
411017,18.6188,73.7997
411018,18.4702,73.8885
411019,18.4606,73.8592
411020,18.5031,73.8156
411021,18.4738,73.9072
411022,18.4411,73.8846
411023,18.4545,73.9484
411026,18.5304,73.9246
411027,18.4451,73.9099
411028,18.5204,73.8567
411029,18.5062,73.8076
411030,18.5485,73.8798
411031,18.5489,73.9345
411032,18.5885,73.8946
411033,18.6298,73.7997
411034,18.5816,73.9886
411035,18.5966,73.8842
411036,18.4489,73.8503
411037,18.4656,73.8928
411038,18.5069,73.7865
411039,18.4744,73.9356
411040,18.4592,73.8356
411041,18.4793,73.7809
411042,18.4915,73.7948
411043,18.6006,73.7644
411045,18.5129,73.7818
411046,18.4473,73.9023
411047,18.4588,73.8852
411048,18.4765,73.8878
411052,18.5639,73.9151
411057,18.5961,73.7341
412101,18.7481,73.4072
412105,18.6667,73.7500
412207,18.6156,73.9489
412308,18.3789,73.8543
412405,18.7478,73.5335
410504,18.7311,73.6728
411002,18.5196,73.8553
411003,18.5165,73.8560
411004,18.5074,73.8421
411006,18.5320,73.8796
411008,18.5610,73.9169
411011,18.5633,73.9270
411014,18.5590,73.9007
411017,18.6519,73.7606
411033,18.6189,73.8066
