state,district,predicted_growth_rate
100000,100000,165.52
Andaman & Nicobar Islands,Andamans,78.71
Andaman & Nicobar Islands,Nicobars,1.0
Andaman & Nicobar Islands,South Andaman,48.37
Andaman and Nicobar Islands,Nicobar,77.76
Andaman and Nicobar Islands,North And Middle Andaman,138.09
Andaman and Nicobar Islands,South Andaman,194.49
Andhra Pradesh,Adilabad,1420.74
Andhra Pradesh,Alluri Sitharama Raju,1261.08
Andhra Pradesh,Anakapalli,559.84
Andhra Pradesh,Anantapur,4448.93
Andhra Pradesh,Ananthapur,1986.72
Andhra Pradesh,Ananthapuramu,3221.75
Andhra Pradesh,Annamayya,992.11
Andhra Pradesh,Bapatla,501.78
Andhra Pradesh,Chittoor,8233.8
Andhra Pradesh,Cuddapah,5966.74
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,672.61
Andhra Pradesh,East Godavari,7740.0
Andhra Pradesh,Eluru,632.56
Andhra Pradesh,Guntur,9805.04
Andhra Pradesh,Hyderabad,4857.78
Andhra Pradesh,K.V.Rangareddy,68.23
Andhra Pradesh,K.v. Rangareddy,19.43
Andhra Pradesh,Kakinada,961.1
Andhra Pradesh,Karim Nagar,80.95
Andhra Pradesh,Karimnagar,668.74
Andhra Pradesh,Khammam,1143.34
Andhra Pradesh,Krishna,6786.49
Andhra Pradesh,Kurnool,12016.88
Andhra Pradesh,Mahabub Nagar,1565.88
Andhra Pradesh,Mahabubnagar,6.97
Andhra Pradesh,Mahbubnagar,717.98
Andhra Pradesh,Medak,1408.16
Andhra Pradesh,N. T. R,922.82
Andhra Pradesh,Nalgonda,1152.02
Andhra Pradesh,Nandyal,926.84
Andhra Pradesh,Nellore,5330.04
Andhra Pradesh,Nizamabad,530.45
Andhra Pradesh,Palnadu,863.42
Andhra Pradesh,Parvathipuram Manyam,523.03
Andhra Pradesh,Prakasam,7626.23
Andhra Pradesh,Rangareddi,1890.72
Andhra Pradesh,Sri Potti Sriramulu Nellore,1535.72
Andhra Pradesh,Sri Sathya Sai,974.21
Andhra Pradesh,Srikakulam,4420.62
Andhra Pradesh,Tirupati,1663.48
Andhra Pradesh,Visakhapatnam,8490.75
Andhra Pradesh,Vizianagaram,3914.16
Andhra Pradesh,Warangal,1048.26
Andhra Pradesh,West Godavari,6060.73
Andhra Pradesh,Y. S. R,846.08
Arunachal Pradesh,Anjaw,36.2
Arunachal Pradesh,Changlang,861.75
Arunachal Pradesh,Dibang Valley,9.68
Arunachal Pradesh,East Kameng,182.83
Arunachal Pradesh,East Siang,167.64
Arunachal Pradesh,Kamle,28.38
Arunachal Pradesh,Kra Daadi,78.4
Arunachal Pradesh,Kurung Kumey,70.56
Arunachal Pradesh,Leparada,2.72
Arunachal Pradesh,Lohit,157.76
Arunachal Pradesh,Longding,844.3
Arunachal Pradesh,Lower Dibang Valley,111.08
Arunachal Pradesh,Lower Siang,30.9
Arunachal Pradesh,Lower Subansiri,106.04
Arunachal Pradesh,Namsai,144.29
Arunachal Pradesh,Pakke Kessang,2.98
Arunachal Pradesh,Papum Pare,464.34
Arunachal Pradesh,Shi-yomi,34.3
Arunachal Pradesh,Siang,104.98
Arunachal Pradesh,Tawang,151.48
Arunachal Pradesh,Tirap,99.58
Arunachal Pradesh,Upper Siang,41.98
Arunachal Pradesh,Upper Subansiri,138.6
Arunachal Pradesh,West Kameng,268.12
Arunachal Pradesh,West Siang,180.08
Assam,Bajali,29.61
Assam,Baksa,3628.16
Assam,Barpeta,14145.8
Assam,Biswanath,1335.17
Assam,Bongaigaon,3145.5
Assam,Cachar,17469.79
Assam,Charaideo,1191.52
Assam,Chirang,3306.16
Assam,Darrang,7338.66
Assam,Dhemaji,6557.12
Assam,Dhubri,12649.11
Assam,Dibrugarh,6756.06
Assam,Dima Hasao,248.8
Assam,Goalpara,9810.46
Assam,Golaghat,11046.23
Assam,Hailakandi,5647.74
Assam,Hojai,7010.48
Assam,Jorhat,4655.66
Assam,Kamrup,13351.32
Assam,Kamrup Metro,5306.78
Assam,Karbi Anglong,8123.93
Assam,Karimganj,14761.31
Assam,Kokrajhar,4511.87
Assam,Lakhimpur,6915.56
Assam,Majuli,493.14
Assam,Marigaon,10468.73
Assam,Nagaon,12684.18
Assam,Nalbari,3865.17
Assam,North Cachar Hills,1080.36
Assam,Sibsagar,2245.05
Assam,Sonitpur,8360.62
Assam,South Salmara Mankachar,1481.46
Assam,Sribhumi,159.87
Assam,Tamulpur District,56.32
Assam,Tinsukia,7926.02
Assam,Udalguri,4507.38
Assam,West Karbi Anglong,1090.04
Bihar,Araria,15638.74
Bihar,Arwal,3604.0
Bihar,Aurangabad,10799.5
Bihar,Aurangabad(BH),8.83
Bihar,Aurangabad(bh),104.66
Bihar,Banka,11153.38
Bihar,Begusarai,12965.15
Bihar,Bhabua,31.7
Bihar,Bhagalpur,20760.82
Bihar,Bhojpur,13709.44
Bihar,Buxar,7434.81
Bihar,Darbhanga,15938.1
Bihar,East Champaran,28297.42
Bihar,Gaya,25724.48
Bihar,Gopalganj,15097.88
Bihar,Jamui,10443.78
Bihar,Jehanabad,5605.58
Bihar,Kaimur (Bhabua),7977.15
Bihar,Katihar,16451.82
Bihar,Khagaria,8264.16
Bihar,Kishanganj,8796.31
Bihar,Lakhisarai,6206.18
Bihar,Madhepura,9224.06
Bihar,Madhubani,26061.17
Bihar,Monghyr,46.58
Bihar,Munger,6423.65
Bihar,Muzaffarpur,28053.2
Bihar,Nalanda,14496.6
Bihar,Nawada,16355.95
Bihar,Pashchim Champaran,16161.81
Bihar,Patna,25492.21
Bihar,Purba Champaran,125.5
Bihar,Purnea,256.33
Bihar,Purnia,19938.88
Bihar,Rohtas,8239.3
Bihar,Saharsa,13053.8
Bihar,Samastipur,19183.78
Bihar,Samstipur,84.58
Bihar,Saran,23871.44
Bihar,Sheikhpura,3375.52
Bihar,Sheikpura,28.9
Bihar,Sheohar,3294.06
Bihar,Sitamarhi,39146.27
Bihar,Siwan,15352.22
Bihar,Supaul,10624.08
Bihar,Vaishali,17433.64
Bihar,West Champaran,29431.04
Chandigarh,Chandigarh,2733.91
Chandigarh,Rupnagar,3.0
Chhattisgarh,Balod,1686.86
Chhattisgarh,Baloda Bazar,4956.52
Chhattisgarh,Balrampur,6285.82
Chhattisgarh,Bastar,6655.72
